PTBankMayora,PT Allianz Global Investors Asset Management Indonesia,REKSA DANA ALLIANZ ALPHA SECTOR ROTATION
PTBankMayora,PT BNI Asset Management,REKSA DANA BNI AM DANA LIKUID
PTBankMayora,PT BNI Asset Management,REKSA DANA BNI AM UGM PROGRESSIVE BALANCED
PTBankMayora,PT Danakita Investama,Reksa Dana Danakita Stabil Pasar Uang
PTBankMayora,PT Allianz Global Investors Asset Management Indonesia,REKSA DANA INDEKS ALLIANZ SRI KEHATI INDEX FUND
PTBankMayora,PT Trimegah Asset Management,REKSA DANA SYARIAH TERPROTEKSI TRIMEGAH TERPROTEKSI PRIMA SYARIAH
PTBankMayora,PT Trimegah Asset Management,REKSA DANA TERPROTEKSI TRIMEGAH TERPROTEKSI FUTURA 21
PTBankMayora,PT Trimegah Asset Management,REKSA DANA TERPROTEKSI TRIMEGAH TERPROTEKSI LESTARI 12
PTBankMayora,PT Trimegah Asset Management,REKSA DANA TRAM CONSUMPTION PLUS KELAS A
PTBankMayora,PT Trimegah Asset Management,REKSA DANA TRIM KAS 2 KELAS A
PTBankMayora,PT Trimegah Asset Management,REKSA DANA TRIMEGAH FIXED INCOME PLAN
